# Pixel Table for ALFOSC grism: 
# order = 5
#
# Pixel    Wavelength [Å]
    97.52    3820.68
   120.75    3889.75
   145.97    3965.84
   145.97    3965.84
   166.20    4027.33
   166.20    4027.33
   307.56    4472.73
   307.56    4472.73
   381.31    4714.47
   381.31    4714.47
   443.98    4923.31
   443.98    4923.31
   471.65    5017.07
   471.65    5017.07
   471.87    5017.07
   739.69    5946.48
   739.69    5946.48
   795.57    6144.77
   795.57    6144.77
   897.12    6508.33
   897.12    6508.33
   944.87    6680.05
   944.87    6680.05
  1014.25    6931.39
  1014.25    6931.39
  1042.53    7034.36
  1042.53    7034.36
  1386.64    8302.61
  1386.64    8302.61
  1407.29    8379.91
  1407.29    8379.91
  1438.84    8497.70
  1438.84    8497.70
  1612.52    9151.20
  1612.52    9151.20
